,cve_ent,poblacion,Nom_Ent,nom_mun,Total,semana f,semana g,semana 0,semana 1,semana 2,semana 3,semana 4,semana 5,semana 6,semana 7,semana 8,semana 9,semana 10,semana 11,semana 12,semana 13,semana 14,semana 15,semana 16,semana 17,semana 18,semana 19,semana 20,semana 21,semana 22,semana 23,semana 24,semana 25,semana 26,semana 27,semana 28,semana 29,semana 30,semana 31,semana 32,semana 33,semana 34,semana 35,semana 36,semana 37,semana 38,semana 39,semana 40,semana 41,semana 42,semana 43,semana 44,semana 45,semana 46,semana 47,semana 48,semana 49,semana 50,semana 51,semana 52,semana 53,semana 54,semana 55,semana 56,semana 57,semana 58,semana 59,semana 60,semana 61,semana 62
313,10034,27368,Durango,Tamazula,139,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,8,10,0,3,3,5,23,0,0,2,0,7,0,1,5,3,8,0,0,17,0,2,2,2,0,0,0,1,0,0,1,5,3,3,0,0,0,0,0,0,2,1,12,2,2,0,0,0
314,10035,11545,Durango,Tepehuanes,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,6,4,0,1,2,1,0,0,1,1,4,1,2,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0
315,10036,24946,Durango,Tlahualilo,131,0,0,0,0,0,0,0,0,1,2,0,1,6,3,19,15,14,6,3,1,2,3,0,3,0,1,0,1,1,0,1,1,2,0,0,2,2,4,2,6,8,1,0,1,1,3,3,2,0,4,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0
316,10037,9849,Durango,Topia,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,78,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,10038,23279,Durango,Vicente Guerrero,266,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2,1,4,0,0,2,5,6,7,8,14,12,13,16,8,10,14,9,10,32,1,6,0,7,1,16,9,14,5,3,4,3,3,7,1,2,1,1,2,1,1,1,0
318,10039,28862,Durango,Nuevo Ideal,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,5,6,10,13,10,7,8,7,0,7,31,50,41,44,76,41,27,20,14,11,11,13,29,25,20,18,15,5,7,3,7,2,6,1,1,0,9,2,0,0,4
319,11001,95581,Guanajuato,Abasolo,687,0,0,0,0,0,0,2,0,0,0,0,1,1,1,4,4,9,9,5,12,14,30,21,29,15,12,15,22,24,25,16,5,8,7,5,7,11,4,9,18,18,11,23,19,15,17,39,32,36,32,21,11,19,7,8,8,6,4,9,2,1,2,1,1,0
320,11002,118967,Guanajuato,Acámbaro,3267,0,0,0,0,0,0,0,1,4,0,3,4,8,9,18,17,6,26,14,26,35,44,66,63,43,48,63,82,102,86,51,45,52,14,26,86,140,95,51,55,82,121,95,98,84,93,183,199,163,144,101,101,72,93,58,50,37,31,21,14,17,9,12,6,0
321,11003,183034,Guanajuato,San Miguel de Allende,2767,0,0,0,0,0,2,1,0,5,0,1,2,3,2,5,14,12,13,17,25,26,34,45,35,41,35,21,37,50,54,44,25,31,14,26,55,48,55,76,94,145,128,122,124,95,107,157,161,175,101,93,50,68,49,32,36,37,34,24,22,25,5,15,10,4
322,11004,72209,Guanajuato,Apaseo el Alto,1036,0,0,0,0,0,0,0,0,0,1,0,1,2,3,5,4,3,11,9,14,9,10,8,8,7,8,13,5,17,24,21,5,8,6,25,23,31,24,24,22,42,48,44,56,34,35,37,50,54,42,45,30,23,17,28,18,13,13,17,10,3,9,11,5,1
323,11005,99036,Guanajuato,Apaseo el Grande,1397,0,0,0,0,0,0,0,0,0,2,1,2,4,7,3,6,9,13,13,17,14,26,38,13,14,20,19,22,25,15,21,18,18,14,19,19,19,31,25,41,43,50,61,43,44,40,51,70,74,76,38,39,53,21,27,44,44,28,12,14,8,7,1,0,1
324,11006,5559,Guanajuato,Atarjea,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,6,4,3,4,1,2,3,0,1,3,2,0,0,1,1,0,0,2,0,0,0,1,0,0,0
325,11007,530820,Guanajuato,Celaya,11758,0,0,0,0,0,4,1,2,3,12,12,35,20,39,51,118,90,208,125,137,233,283,276,251,191,190,222,285,256,225,225,174,217,210,221,277,285,274,349,370,479,417,457,393,265,298,404,577,454,314,395,341,229,186,145,74,92,87,56,57,45,42,48,29,3
326,11008,40608,Guanajuato,Manuel Doblado,819,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,6,6,5,7,9,18,10,14,12,20,26,14,20,17,8,8,8,9,6,3,5,10,14,18,25,35,25,40,53,53,65,60,58,42,14,20,9,9,8,11,4,6,2,1,1,0,0
327,11009,87191,Guanajuato,Comonfort,1018,0,0,0,0,0,0,0,0,1,0,0,1,0,3,4,3,4,13,14,9,13,13,20,12,16,13,15,18,19,9,12,7,8,11,17,28,31,20,24,33,48,26,20,45,39,35,32,47,62,53,45,40,25,25,15,15,11,5,5,8,5,1,15,5,0
328,11010,12998,Guanajuato,Coroneo,365,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,11,2,7,0,4,1,2,2,2,1,1,6,9,10,8,2,1,2,5,5,12,7,10,6,17,12,11,18,12,10,11,14,14,18,9,8,15,5,2,3,10,14,9,0,4,3,5,14,5,1
329,11011,101319,Guanajuato,Cortazar,1785,0,0,0,0,0,0,1,0,7,1,0,2,4,7,11,20,34,43,31,15,29,33,32,35,29,27,34,48,54,48,35,26,30,34,38,36,42,62,72,41,49,54,49,41,43,40,59,77,69,69,53,41,37,49,28,19,16,8,6,5,4,4,3,1,0
330,11012,29959,Guanajuato,Cuerámaro,566,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,4,1,17,6,6,16,18,7,12,11,6,10,14,21,12,13,8,8,7,13,12,12,10,16,37,32,21,17,11,16,10,14,17,20,22,18,13,6,9,10,8,3,1,1,2,4,6,0,0,0
331,11013,25606,Guanajuato,Doctor Mora,294,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,6,4,1,3,2,1,1,1,2,0,5,3,2,5,4,4,1,3,0,5,17,10,14,13,14,19,19,15,13,5,17,16,7,14,3,6,0,0,7,7,4,5,3,1,1,0,4,2,0
332,11014,160771,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,2649,0,0,0,0,0,0,0,0,0,2,0,0,5,4,4,8,21,22,33,54,43,55,44,50,43,42,59,40,59,45,23,36,32,59,72,87,81,92,124,99,108,104,87,67,57,52,81,83,68,90,55,44,39,49,39,42,42,64,21,39,28,26,9,15,2
333,11015,198035,Guanajuato,Guanajuato,5101,0,0,0,0,1,1,3,4,0,1,1,1,3,5,8,13,21,31,46,77,83,105,82,99,101,123,95,117,106,83,41,41,58,46,77,102,106,126,141,141,224,202,174,157,106,127,209,275,260,203,160,129,104,118,103,75,98,108,60,36,26,24,16,16,2
334,11016,22612,Guanajuato,Huanímaro,312,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,2,10,10,13,10,14,10,14,5,9,12,1,0,0,0,2,3,3,7,4,8,7,14,9,7,9,7,12,17,16,15,9,15,1,3,5,5,0,9,0,0,4,2,0,0,4,0
335,11017,610700,Guanajuato,Irapuato,13403,0,0,0,1,2,6,1,1,7,6,8,11,11,32,97,107,125,205,241,291,342,388,395,356,305,249,251,272,226,226,136,74,97,97,130,179,271,180,302,343,403,411,393,337,332,403,492,652,821,778,485,440,253,252,212,143,136,138,75,110,60,45,30,27,4
336,11018,41154,Guanajuato,Jaral del Progreso,999,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,5,4,8,5,5,25,23,45,53,37,20,33,39,20,16,11,18,16,18,17,29,32,32,16,41,33,36,21,17,26,34,37,34,35,14,19,36,15,14,11,10,10,2,4,7,2,8,0,0
337,11019,51332,Guanajuato,Jerécuaro,795,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,5,8,17,4,9,8,8,7,6,5,3,19,11,14,24,8,15,10,11,3,6,10,17,22,14,48,19,45,28,33,33,38,33,30,23,29,23,12,32,18,9,11,13,2,6,11,6,18,4,3
338,11020,1679610,Guanajuato,León,43929,0,1,23,7,34,17,11,11,21,28,35,94,123,172,450,608,614,962,1179,1119,1217,1237,1188,1079,798,689,587,557,491,583,418,409,359,476,415,613,683,715,983,1138,1624,1504,1878,1719,1200,1400,2140,2643,1752,1467,1462,994,807,678,478,403,299,353,223,228,166,179,104,68,16
339,11021,54378,Guanajuato,Moroleón,1397,0,0,0,0,0,0,0,1,1,2,6,0,0,0,1,7,13,4,4,4,16,35,28,20,28,31,23,35,47,55,34,23,29,20,23,31,36,25,52,37,41,39,50,38,32,54,49,59,74,52,46,20,26,21,18,29,13,12,10,6,9,7,8,7,6
340,11022,24758,Guanajuato,Ocampo,570,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,8,10,11,7,8,22,29,28,31,31,17,29,7,6,14,2,5,11,8,8,12,13,15,6,8,13,14,10,36,41,24,12,4,9,5,4,2,6,6,30,0,0,0,1,0,1,0
341,11023,159968,Guanajuato,Pénjamo,2029,0,0,0,0,0,0,0,0,5,0,0,0,3,8,4,20,11,30,24,43,42,50,67,37,39,56,50,78,60,30,41,31,24,25,36,40,58,23,48,48,72,65,41,34,50,51,76,103,109,86,57,56,40,38,24,22,19,15,10,11,3,7,5,3,1
342,11024,12620,Guanajuato,Pueblo Nuevo,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,6,1,1,4,6,7,3,3,5,5,7,3,2,4,1,6,1,1,1,3,6,5,4,7,4,15,9,8,5,25,17,14,13,12,6,1,0,3,1,0,3,0,0,1,0,0,0,0
343,11025,86012,Guanajuato,Purísima del Rincón,1231,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,6,6,17,26,36,29,29,14,20,14,37,25,17,23,16,9,4,9,11,17,23,24,24,60,60,45,70,63,82,85,82,59,65,35,27,17,6,6,10,1,3,2,0,0,5,3,2,0
344,11026,62603,Guanajuato,Romita,1314,0,0,0,0,0,0,0,5,1,3,4,6,6,11,15,25,18,32,11,35,28,33,40,20,21,10,26,16,15,9,5,1,9,3,6,15,11,15,25,55,73,68,47,75,54,53,62,74,63,56,44,24,10,24,14,7,1,8,4,7,2,0,6,3,0
345,11027,293293,Guanajuato,Salamanca,6562,0,0,0,0,2,0,7,11,11,8,11,17,4,7,13,25,62,61,93,126,139,145,166,160,128,217,168,205,176,161,121,100,115,73,119,134,175,166,233,213,298,250,180,183,169,199,210,187,169,202,141,132,111,90,81,52,70,96,22,24,22,33,29,35,5
346,11028,106978,Guanajuato,Salvatierra,2574,0,0,0,0,0,0,0,0,3,3,5,3,7,5,6,11,17,21,24,34,31,44,52,34,54,61,77,50,61,63,42,48,67,16,47,67,54,74,65,105,91,94,104,102,79,102,141,107,99,79,58,52,38,30,19,22,24,11,11,4,15,9,10,20,2
347,11029,41588,Guanajuato,San Diego de la Unión,959,0,0,0,0,0,0,0,0,0,0,2,0,1,1,5,2,5,10,9,8,7,14,19,25,22,25,26,44,49,37,9,6,27,22,20,27,15,19,23,23,30,30,17,9,16,20,47,33,36,29,23,14,14,35,21,26,13,18,8,13,1,0,1,3,0
348,11030,118417,Guanajuato,San Felipe,2032,0,0,0,0,0,0,0,0,0,0,0,1,3,3,8,4,3,7,7,17,27,30,25,47,42,69,73,81,65,59,46,22,35,50,43,47,45,44,44,65,73,75,51,45,42,48,109,103,95,76,44,35,39,21,17,14,27,31,10,19,18,14,10,3,1
349,11031,125904,Guanajuato,San Francisco del Rincón,2725,0,0,0,1,3,0,0,0,0,0,2,1,0,2,2,7,8,28,45,63,80,73,60,84,69,63,69,79,85,58,37,25,21,11,15,43,42,40,62,74,98,99,128,175,120,111,133,123,152,98,54,56,46,19,12,10,17,5,5,3,3,3,3,0,0
350,11032,83562,Guanajuato,San José Iturbide,1033,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,6,5,14,21,24,19,14,10,13,12,19,25,30,21,18,22,19,22,14,15,26,46,26,20,25,39,26,30,35,26,27,33,53,52,42,23,18,17,28,18,9,11,5,10,12,5,8,9,2,2
351,11033,127678,Guanajuato,San Luis de la Paz,2266,0,0,0,0,0,1,0,0,2,2,8,11,6,3,4,11,12,24,17,22,39,37,68,57,47,56,53,53,64,58,33,45,40,28,60,58,57,56,91,66,81,71,78,39,37,48,73,66,71,70,71,46,46,51,47,39,22,23,19,19,17,12,7,17,7
352,11034,5584,Guanajuato,Santa Catarina,35,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,3,6,3,1,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
353,11035,88644,Guanajuato,Santa Cruz de Juventino Rosas,1554,0,0,0,0,0,0,0,0,2,2,2,3,22,11,14,17,26,20,11,28,26,21,18,14,11,27,23,16,25,21,14,11,14,22,32,37,34,52,59,79,92,91,57,92,31,21,57,53,68,72,27,15,25,18,17,11,13,15,21,14,7,7,11,3,2
354,11036,7327,Guanajuato,Santiago Maravatío,238,0,0,0,0,0,0,0,0,0,0,1,2,14,7,0,1,0,1,3,1,0,3,3,4,6,5,4,6,5,9,8,1,3,0,1,4,0,4,2,10,11,4,14,14,15,6,11,12,5,4,6,5,8,1,1,0,4,6,0,0,0,1,2,0,0
355,11037,201020,Guanajuato,Silao de la Victoria,3458,0,0,0,0,0,1,0,0,3,0,1,6,10,16,11,34,59,75,123,129,161,142,127,151,93,57,50,78,60,46,30,22,34,9,21,59,54,48,70,49,72,56,83,101,71,104,172,172,191,81,86,86,49,55,44,43,28,39,20,19,15,17,15,9,1
356,11038,12978,Guanajuato,Tarandacuao,276,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,4,1,2,7,3,5,5,1,1,6,5,8,3,0,2,2,2,2,6,3,5,5,10,17,10,20,10,4,6,20,20,8,21,6,6,5,9,3,1,3,3,4,0,0,1,4,1,0
357,11039,36574,Guanajuato,Tarimoro,538,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,2,7,9,7,5,9,9,8,7,7,30,16,17,17,11,1,3,1,7,4,8,7,8,9,22,14,30,20,13,31,32,32,30,21,14,12,11,6,10,10,0,0,7,0,5,0,0,0,0
358,11040,20238,Guanajuato,Tierra Blanca,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,1,1,2,2,2,5,1,2,2,4,5,4,3,1,0,6,2,5,5,11,3,4,3,12,12,9,7,3,10,14,12,6,15,2,2,4,0,3,2,1,1,5,3,1,1,0,0,0
359,11041,67184,Guanajuato,Uriangato,1563,0,0,0,0,0,0,0,2,4,1,0,0,0,1,1,2,12,10,4,4,8,15,26,22,23,24,33,34,42,42,26,28,16,36,39,50,32,47,42,51,48,62,51,36,46,65,74,87,69,73,43,37,49,15,14,20,10,22,11,8,9,19,6,11,1
360,11042,153094,Guanajuato,Valle de Santiago,2877,0,0,0,0,0,1,0,0,1,5,0,3,1,2,4,3,10,22,20,33,43,72,100,113,87,74,76,86,55,43,42,40,33,10,27,44,50,45,89,83,101,124,97,111,86,86,105,121,112,120,101,55,64,32,45,42,34,43,15,17,10,15,9,11,4
361,11043,21521,Guanajuato,Victoria,220,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,2,4,1,2,2,1,5,2,4,8,8,6,7,1,2,3,5,3,5,2,10,6,10,13,7,11,20,19,13,9,5,7,2,2,4,1,0,0,0,1,0,0,1,0,0
362,11044,62918,Guanajuato,Villagrán,1091,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,8,14,19,10,15,17,19,25,22,19,20,10,19,12,25,20,14,14,12,20,25,23,31,37,49,46,44,32,40,22,23,32,53,49,44,41,34,12,25,13,12,4,4,9,15,9,8,4,5,2
363,11045,12285,Guanajuato,Xichú,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,2,0,2,6,0,1,3,1,0,1,6,0,0,0,2,0,3,3,6,7,11,5,4,2,4,16,4,10,3,2,1,3,0,0,0,0,0,1,0,0,0,0,0
364,11046,73948,Guanajuato,Yuriria,1135,0,0,0,0,0,0,0,1,3,0,1,2,1,0,1,2,4,2,8,9,9,17,20,28,15,39,44,33,43,27,28,26,23,15,37,25,32,22,29,41,32,32,38,36,32,38,51,67,63,36,23,23,10,16,7,3,13,9,1,3,5,1,3,6,0
365,12001,840795,Guerrero,Acapulco de Juárez,16093,0,0,0,1,6,10,10,24,28,55,106,143,257,548,500,498,477,368,519,1002,284,531,277,427,300,206,160,245,303,445,383,405,403,364,271,220,147,144,152,136,170,140,157,171,143,247,407,638,566,587,390,280,210,197,192,169,167,138,148,163,127,107,94,83,47
366,12002,27366,Guerrero,Ahuacuotzingo,167,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,2,2,1,4,7,8,12,18,22,6,9,2,3,4,0,0,0,0,1,0,0,5,0,4,3,3,1,1,0,0,1,0,0,5,1,0,0,0,2,0,0,2,4,10,7,11,0
367,12003,38895,Guerrero,Ajuchitlán del Progreso,235,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,15,11,8,9,7,10,7,3,3,9,3,3,3,3,2,2,2,0,1,0,0,0,1,2,5,0,0,7,2,6,8,15,24,10,12,3,8,7,4,1,0,2,1,0,2,0,5,0,0
368,12004,20112,Guerrero,Alcozauca de Guerrero,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,1,0,2,0,1,2,1,0,1,0,1,1,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,1,1,3,0,2,0,6,6,3,3,3,2,1,6,0,1,2,0,0
369,12005,6959,Guerrero,Alpoyeca,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,2,0,3,3,1,1,1,2,3,1,1,0,0,0,1,2,0,1,0,0
370,12006,11719,Guerrero,Apaxtla,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,3,1,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
371,12007,32547,Guerrero,Arcelia,247,0,0,0,0,0,0,0,0,0,0,1,5,7,12,7,10,16,5,6,17,2,5,5,1,6,10,3,3,6,4,4,8,2,1,1,3,2,1,2,0,4,1,5,4,0,7,10,13,12,5,11,1,7,0,0,2,1,3,1,2,2,0,0,1,0
372,12008,8914,Guerrero,Atenango del Río,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,2,3,0,0,0,1,1,1,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
373,12009,5284,Guerrero,Atlamajalcingo del Monte,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
374,12010,28136,Guerrero,Atlixtac,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,3,0,1,0,0
375,12011,62574,Guerrero,Atoyac de Álvarez,560,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,9,12,11,11,12,13,9,8,8,33,8,7,5,12,16,21,18,21,16,6,20,12,12,5,8,9,5,8,12,2,14,25,16,39,23,5,13,13,20,7,5,3,4,2,4,2,1,4,2,1
376,12012,70242,Guerrero,Ayutla de los Libres,439,0,0,0,0,0,0,0,0,0,2,2,0,1,13,2,4,13,4,7,11,11,7,7,6,5,12,4,11,9,5,2,2,0,1,2,1,0,0,0,0,4,2,1,0,0,0,2,4,6,8,5,3,4,2,13,20,18,14,8,25,43,23,32,36,22
377,12013,13164,Guerrero,Azoyú,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,4,3,2,3,1,4,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,8,5,0,0,0,0,0,2,4,4,3,2,0
378,12014,15926,Guerrero,Benito Juárez,148,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,3,2,1,1,2,2,7,2,5,1,1,1,4,1,5,6,1,2,2,1,0,0,2,5,3,1,0,1,0,0,3,3,17,17,12,4,0,4,5,1,2,1,7,1,2,3,0,0,0
379,12015,13737,Guerrero,Buenavista de Cuéllar,114,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,1,2,2,3,0,5,8,3,0,0,5,7,5,2,6,0,0,0,0,1,0,0,0,0,1,8,2,9,0,1,2,8,9,1,0,1,6,0,1,4,3,0,0,0,0,0,0,0,0,3
380,12016,12661,Guerrero,Coahuayutla de José María Izazaga,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
381,12017,14050,Guerrero,Cocula,112,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,2,0,0,0,3,0,1,2,3,2,2,3,13,7,6,9,6,7,8,4,5,1,2,4,3,2,2,1,1,0,0,0,0,1,1
382,12018,14641,Guerrero,Copala,69,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2,3,2,1,3,1,6,1,2,2,6,5,1,3,2,1,0,0,0,0,0,0,0,0,0,2,1,1,1,4,1,0,1,1,1,3,1,2,3,1,0,1,0,0
383,12019,15096,Guerrero,Copalillo,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,0,0,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
384,12020,20779,Guerrero,Copanatoyac,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,1,0,1,2,0,2,0,0,0,1,0,1,2,1,0,0
385,12021,78931,Guerrero,Coyuca de Benítez,259,0,0,0,0,0,0,0,3,1,2,3,2,4,5,1,2,9,4,3,6,7,3,0,2,2,2,4,12,31,15,2,6,4,3,3,4,3,5,2,2,2,6,6,4,3,10,9,24,20,2,3,2,0,0,1,1,1,0,1,0,1,3,1,2,0
386,12022,40408,Guerrero,Coyuca de Catalán,240,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8,7,9,12,15,9,2,2,2,1,6,5,5,4,9,5,2,3,3,8,4,3,5,5,9,4,5,1,6,0,4,7,4,14,24,10,3,1,2,4,1,0,1,0,1,0,1,0,0,0,0
387,12023,27919,Guerrero,Cuajinicuilapa,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,5,12,18,17,9,3,10,6,5,2,3,3,1,0,0,0,2,0,3,0,0,0,0,1,3,1,5,9,2,0,2,2,3,1,0,2,4,2,2,4,0,1,3
388,12024,7807,Guerrero,Cualác,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,1,1,0,0,0,0,1,6,3,0,1,0,0
389,12025,16569,Guerrero,Cuautepec,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,1,2,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,2,1,1,1,1,3,2,6,0,1,2,3,1,0,0,1,0,0
390,12026,8951,Guerrero,Cuetzala del Progreso,51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,1,17,19,5,0,0,0,0
391,12027,20384,Guerrero,Cutzamala de Pinzón,76,0,0,0,0,0,0,0,0,1,0,1,2,1,3,5,4,2,2,4,0,2,0,0,1,4,3,5,1,3,1,1,1,0,0,3,2,0,0,1,0,1,0,1,0,1,1,2,1,5,4,2,2,0,1,0,1,0,0,0,0,0,0,1,0,0
392,12028,133299,Guerrero,Chilapa de Álvarez,467,0,0,0,0,0,0,0,1,1,2,5,1,3,7,5,12,11,8,16,16,16,19,20,25,13,5,9,7,15,10,13,13,8,1,7,3,6,8,5,7,4,3,1,0,2,1,9,8,19,18,7,13,11,5,9,3,4,7,4,1,2,5,13,18,2
393,12029,284330,Guerrero,Chilpancingo de los Bravo,6969,0,0,0,1,2,2,5,11,13,7,15,31,52,71,73,62,130,111,104,326,221,131,280,163,185,221,269,167,240,258,224,256,181,152,104,94,75,74,66,57,60,39,57,62,75,99,202,260,220,227,178,152,140,118,110,75,68,77,44,59,61,46,32,56,18
394,12030,21527,Guerrero,Florencio Villarreal,95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,5,6,2,5,5,0,1,2,0,1,2,1,0,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,1,1,2,3,0,0,1,4,8,1,3,4,1,5,2,8,0
395,12031,5936,Guerrero,General Canuto A. Neri,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,2,1,0,1,0,0,1,0,0,0,0
396,12032,37840,Guerrero,General Heliodoro Castillo,265,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,7,5,4,0,8,2,4,0,15,4,5,2,4,1,0,0,0,4,0,1,2,3,1,2,12,5,0,1,1,1,1,0,5,15,17,47,45,32,3
397,12033,15763,Guerrero,Huamuxtitlán,94,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,1,0,1,1,2,4,3,7,0,3,3,3,8,4,1,3,9,4,0,1,1,3,0,1,1,1,1,0,0,1,0,0,4,3,0,2,0,1,4,1,3,3,0,0,0,1,0,0,0
398,12034,38696,Guerrero,Huitzuco de los Figueroa,250,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,3,5,4,2,0,3,5,3,0,0,1,1,6,7,5,7,7,7,7,5,2,4,3,2,3,7,6,10,6,7,7,4,13,14,2,12,9,5,7,3,7,1,9,7,1,3,4,5,1
399,12035,158141,Guerrero,Iguala de la Independencia,2089,0,0,0,0,0,0,0,4,2,19,19,46,29,30,27,25,15,16,23,12,18,12,16,10,11,14,15,6,10,11,11,11,10,7,19,17,24,17,31,28,83,105,157,157,84,99,90,141,115,93,48,55,39,37,45,43,24,35,13,11,11,5,15,15,4
