,cve_ent,poblacion,Nom_Ent,nom_mun,Total,semana f,semana g,semana 0,semana 1,semana 2,semana 3,semana 4,semana 5,semana 6,semana 7,semana 8,semana 9,semana 10,semana 11,semana 12,semana 13,semana 14,semana 15,semana 16,semana 17,semana 18,semana 19,semana 20,semana 21,semana 22,semana 23,semana 24,semana 25,semana 26,semana 27,semana 28,semana 29,semana 30,semana 31,semana 32,semana 33,semana 34,semana 35,semana 36,semana 37,semana 38,semana 39,semana 40,semana 41,semana 42,semana 43,semana 44,semana 45,semana 46,semana 47,semana 48,semana 49,semana 50,semana 51,semana 52,semana 53,semana 54,semana 55,semana 56,semana 57,semana 58,semana 59,semana 60,semana 61,semana 62
1706,21140,139635,Puebla,San Pedro Cholula,2033,0,0,0,1,3,2,2,7,13,8,5,8,21,26,26,22,58,63,57,35,42,31,50,25,21,22,26,27,12,13,6,9,9,23,17,19,26,23,21,22,36,44,39,61,51,59,115,124,95,71,77,73,54,63,61,38,31,22,17,28,27,15,7,23,1
1707,21141,3520,Puebla,San Pedro Yeloixtlahuaca,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,1,1,1,1,1,1,2,4,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0
1708,21142,32230,Puebla,San Salvador el Seco,206,0,0,0,0,0,0,0,1,5,1,0,0,2,4,5,10,5,10,6,10,13,15,15,5,4,7,1,7,3,2,1,1,3,0,2,4,3,0,0,1,1,1,0,1,3,1,9,5,2,3,4,2,2,3,0,2,5,1,1,2,5,1,5,1,0
1709,21143,33443,Puebla,San Salvador el Verde,239,0,0,0,0,0,0,0,0,1,2,1,5,2,1,2,3,3,7,9,9,4,7,4,4,4,7,7,6,4,1,3,2,9,3,1,3,4,11,1,3,2,4,5,5,6,6,7,6,5,11,2,5,4,5,2,9,4,3,1,2,6,2,2,0,2
1710,21144,15860,Puebla,San Salvador Huixcolotla,74,0,0,0,0,0,0,1,0,0,1,0,1,1,3,0,3,7,8,10,2,3,3,4,2,1,6,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,1,0,0,1,0,3,0,2,0,0,0,0,0,0,0
1711,21145,14734,Puebla,San Sebastián Tlacotepec,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1712,21146,853,Puebla,Santa Catarina Tlaltempan,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1713,21147,6712,Puebla,Santa Inés Ahuatempan,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,0,0,1,2,1,0,0,1,0,0,0,0
1714,21148,9425,Puebla,Santa Isabel Cholula,41,0,0,0,0,0,0,0,1,0,0,0,1,1,3,1,0,1,3,2,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,2,3,1,1,0,2,0,1,1,1,0,0,1,1,0,0,1,2,0
1715,21149,27176,Puebla,Santiago Miahuatlán,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,5,3,3,2,6,3,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,15,12,6,8,12,5,4,4,3,7,7,9,5,2,6,4,0,3,1,1,0,0
1716,21150,7648,Puebla,Huehuetlán el Grande,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,1,1,0
1717,21151,9100,Puebla,Santo Tomás Hueyotlipan,34,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,1,0,0,0,2,0,4,0,0,0,0,1,0,4,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1718,21152,13062,Puebla,Soltepec,50,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,0,1,1,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,3,1,5,4,1,2,0,0,0,0,1,0,1,0,0,1,0,0
1719,21153,23518,Puebla,Tecali de Herrera,156,0,0,0,0,0,0,0,0,0,0,3,3,2,1,7,4,4,4,6,3,10,7,6,3,3,3,2,0,2,2,5,1,0,1,2,1,1,1,0,0,2,3,2,2,3,3,5,6,14,2,1,3,5,3,1,2,0,2,1,1,3,0,2,2,1
1720,21154,81930,Puebla,Tecamachalco,532,0,0,0,0,0,0,0,0,1,4,4,6,3,1,5,10,11,20,20,30,31,25,30,22,17,14,11,23,4,4,4,3,4,4,5,6,2,5,5,3,4,4,8,11,7,10,9,19,15,18,10,10,5,9,10,8,12,8,3,8,1,3,1,1,1
1721,21155,6052,Puebla,Tecomatlán,138,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,3,3,0,3,3,2,3,2,1,0,1,0,1,0,0,1,5,0,0,6,11,9,7,10,17,6,7,5,6,0,4,3,1,4,4,1,0,0,0
